section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected in reference image,fixation x [px],fixation y [px]
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,280,1636035569824499914,1636035571292525914,1468,false,3167,1750
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,281,1636035571304548914,1636035572428483914,1123,false,3278,1931
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,286,1635864181978311439,1635864182218113439,239,false,3067,1759
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,287,1635864182858083439,1635864183042144439,184,true,1085,2790
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,288,1635864183114118439,1635864183242137439,128,true,1512,1346
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,289,1635864183302190439,1635864183418302439,116,true,1844,888
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,290,1635864183494106439,1635864183734084439,239,true,2269,743
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,291,1635864183798559439,1635864184462179439,663,true,942,496
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,292,1635864184526102439,1635864184754123439,228,true,2281,677
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,293,1635864184782133439,1635864184910100439,127,true,2624,803
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,294,1635864184930115439,1635864185082099439,151,false,3037,1102
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,295,1635864185138148439,1635864185562153439,424,false,3684,584
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,296,1635864185610256439,1635864185758097439,147,false,3047,1032
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,297,1635864185758097439,1635864186034111439,276,true,2883,1104
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,298,1635864186066125439,1635864186322161439,256,false,3316,1174
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,299,1635864186366102439,1635864186838369439,472,false,2994,1773
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,300,1635864186898130439,1635864187218097439,319,false,3119,2519
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,301,1635864187262137439,1635864187646093439,383,true,2342,2752
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,302,1635864187698087439,1635864188134124439,436,true,1031,2962
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,303,1635864188174151439,1635864188582107439,407,true,1564,2641
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,304,1635864188630134439,1635864188850115439,219,true,1508,1789
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,305,1635864188862147439,1635864189698089439,835,true,1425,1603
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,306,1635864189726092439,1635864190138127439,412,true,2002,1598
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,307,1635864190162144439,1635864191118145439,956,true,1428,1558
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,308,1635864191142177439,1635864191646194439,504,true,2079,1568
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,309,1635864191670197439,1635864191886093439,215,true,1802,1598
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,310,1635864191958104439,1635864192474138439,516,false,3031,1728
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,311,1635864192514110439,1635864192898111439,384,false,3167,2453
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,312,1635864192950208439,1635864193514106439,563,true,2327,2756
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,313,1635864193578102439,1635864194066108439,488,true,1053,2944
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,314,1635864194114089439,1635864194354091439,240,true,1406,2616
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,315,1635864194462143439,1635864194730114439,267,false,,
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,316,1635864194850102439,1635864195126081439,275,true,16,2219
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,317,1635864195210144439,1635864195370117439,159,true,1152,1362
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,318,1635864195434093439,1635864195774126439,340,true,924,601
89011032-f86b-41fa-a7c7-1c39e734113a,95833eee-cc7c-41ad-a242-b0db2e421866,319,1635864195834110439,1635864196042125439,208,true,1557,1746
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,329,1636382551970759745,1636382552042808745,72,true,2321,1175
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,330,1636382552242879745,1636382552470811745,227,true,2351,882
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,331,1636382552518779745,1636382552942801745,424,true,1828,1799
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,332,1636382552978783745,1636382553674700745,695,true,1250,1840
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,333,1636382553702802745,1636382553894799745,191,true,1308,2230
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,334,1636382553930800745,1636382554370804745,440,true,1405,2663
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,335,1636382554414761745,1636382555746913745,1332,true,2322,2834
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,336,1636382555798872745,1636382556398854745,599,false,3180,2618
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,337,1636382556438791745,1636382557106811745,668,true,2967,1900
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,338,1636382557134785745,1636382557598703745,463,true,2882,1281
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,339,1636382557634977745,1636382558394765745,759,false,3277,1364
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,340,1636382558398805745,1636382558962742745,563,false,3496,696
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,341,1636382559006781745,1636382559174776745,167,true,2322,778
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,342,1636382559186788745,1636382559554770745,367,true,2178,811
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,343,1636382559554770745,1636382559746758745,191,true,2354,855
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,344,1636382559786782745,1636382560182777745,395,true,1600,1075
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,345,1636382560218755745,1636382560719702745,500,true,814,719
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,346,1636382560766793745,1636382561162844745,396,true,1233,1850
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,347,1636382561174780745,1636382561598803745,424,true,1871,1792
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,348,1636382561622780745,1636382562098763745,475,true,2274,1720
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,349,1636382562166783745,1636382563394749745,1227,true,850,2971
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,350,1636382563426705745,1636382563590782745,164,false,,
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,351,1636382563610689745,1636382564182797745,572,true,1442,2685
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,352,1636382564246884745,1636382564418715745,171,true,2103,1763
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,353,1636382564418715745,1636382564614786745,196,true,1975,1628
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,354,1636382564646780745,1636382564990781745,344,true,1174,1624
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,355,1636382565022794745,1636382565474788745,451,true,1647,1046
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,356,1636382565514799745,1636382565818864745,304,true,2205,844
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,357,1636382565830803745,1636382566110852745,280,true,2411,874
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,358,1636382566154801745,1636382566594708745,439,true,2918,1255
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,359,1636382566626781745,1636382566914745745,287,false,3291,1338
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,360,1636382566962841745,1636382567182774745,219,false,3183,2142
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,361,1636382567190692745,1636382567830776745,640,false,3063,2569
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,362,1636382567866797745,1636382568094706745,227,true,2244,2873
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,363,1636382568134730745,1636382568378790745,244,false,3082,2637
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,364,1636382568406768745,1636382568990727745,583,false,,
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,365,1636382569030961745,1636382569238687745,207,false,3131,2505
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,366,1636382569442783745,1636382570058794745,616,false,3559,550
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,367,1636382570078795745,1636382570622914745,544,false,3609,550
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,368,1636382570762915745,1636382571406797745,643,true,2419,2862
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,369,1636382571538792745,1636382572554866745,1016,true,842,682
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,370,1636382572743167745,1636382572994715745,251,false,,
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,371,1636382573058845745,1636382573578723745,519,true,1376,2823
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,372,1636382573626712745,1636382573778785745,152,true,2721,2605
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,373,1636382573834754745,1636382574078875745,244,true,2137,1791
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,374,1636382574114774745,1636382574706849745,592,true,2859,1452
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,375,1636382574722834745,1636382575007062745,284,true,2800,1297
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,376,1636382575078808745,1636382575342908745,264,false,,
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,377,1636382575359032745,1636382575482810745,123,false,,
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,378,1636382575550799745,1636382575694901745,144,false,3015,1422
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,379,1636382575706775745,1636382576534717745,827,true,2804,1442
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,380,1636382576550808745,1636382576694784745,143,true,2748,1262
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,381,1636382576710767745,1636382577074705745,363,true,2277,844
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,382,1636382577110732745,1636382577230950745,120,true,1604,1203
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,383,1636382577310812745,1636382577550789745,239,false,,
701607c8-fd13-4c98-b5cd-2bf7e1b5818a,b1eafeee-a388-4c85-86a4-fa855bc4bea3,384,1636382577578874745,1636382577778695745,199,false,,
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,192,1636386863399802256,1636386863843951256,444,false,3026,876
