section id,recording id,timestamp [ns],gaze detected in reference image,gaze position in reference image x [px],gaze position in reference image y [px],fixation id
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560121151914,true,2397.74801361912,2185.20002852333,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560128553914,true,2397.6566061039653,2158.363701115496,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560132571914,true,2396.6429251548443,2163.378069022303,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560136544914,true,2400.679572198656,2164.3087977080654,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560140878914,true,2399.384531914252,2152.967527488907,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560148509914,true,2411.4177409981826,2141.532872286867,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560152554914,true,2403.3816904922955,2129.6333074942086,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560156500914,true,2402.920340404984,2129.3381217153005,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560160499914,true,2406.8288642726075,2131.6820021667518,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560168504914,true,2418.1201851391147,2139.2203735287117,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560172549914,true,2429.411264108295,2140.183572389517,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560176545914,true,2433.490697527077,2139.7358369101385,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560180643914,true,2431.5630418875517,2137.7178353778545,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560188482914,true,2416.4316799395283,2127.3286884237273,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560192515914,true,2425.7947149651322,2122.0929809232025,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560196502914,true,2420.7234664901066,2115.5875909880206,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560200502914,true,2420.6988409034425,2110.5738102743207,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560208579914,true,2425.8353671591713,2119.921533267077,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560212523914,true,2445.7496452269197,2121.8848155783926,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560216517914,true,2455.9695826852953,2130.2245272177825,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560220541914,true,2463.141247342193,2139.8771181084103,248
3cd54e6f-f12e-468c-9a7b-6afffd5f0379,54a0deee-23dd-48f4-806e-6fdb519d6a7c,1636035560228482914,true,2437.058125755155,2141.7235797089443,
